"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Описание теста","9317","test_e2e","tests","Sat Mar 15 20:07:24 GMT 2025","passed","Sat Mar 15 20:07:34 GMT 2025","TestOne","test_e2e","",""
"","2693","test_formSubmission[getData0]","tests","Sat Mar 15 20:07:19 GMT 2025","passed","Sat Mar 15 20:07:22 GMT 2025","TestHomePage","test_HomePage","",""
